기간,공장,공정코드,기계코드,총_생산수량,총_양품수량,전체_수율(%),운영일수,이론상_총_생산량,가동률(%)
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사36호기,28040.0,26280.0,93.72,1,78546.0,35.7
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사37호기,37610.0,35365.0,94.03,1,78546.0,47.88
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사38호기,10240.0,9605.0,93.8,1,78546.0,13.04
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사39호기,60270.0,55465.0,92.03,1,78546.0,76.73
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사40호기,23860.0,20040.0,83.99,1,78546.0,30.38
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사41호기,53190.0,42205.0,79.35,1,78546.0,67.72
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사42호기,55525.0,50270.0,90.54,1,78546.0,70.69
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사43호기,49565.0,46280.0,93.37,1,78546.0,63.1
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사44호기,15220.0,12485.0,82.03,1,78546.0,19.38
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사45호기,35830.0,32770.0,91.46,1,78546.0,45.62
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사46호기,57830.0,51965.0,89.86,1,78546.0,73.63
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사47호기,25910.0,23900.0,92.24,1,78546.0,32.99
2023-01-04,C관(2공장),[55] 접착/ 멸균,검사48호기,20610.0,18915.0,91.78,1,78546.0,26.24
