기간,공장,공정코드,품명,신규분류요약,총_생산수량,총_양품수량,총_불량수량,전체_수율(%),로트별 종합수율
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,FGC D_Latin_comfi 55%,1-Day_Color_Sph,500.0,500.0,0.0,100.0,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,HAPA(PIA) D_Sugar High Kristin Ash Choco 14.2_55% UV,1-Day_Color_Sph,43307.0,43285.0,22.0,99.95,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,IRIS_Soul Brown(NEW),1-Day_Color_Sph,3403.0,3395.0,8.0,99.76,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Layala_Alicia Brown,1-Day_Color_Sph,32513.0,32485.0,28.0,99.91,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Layala_Jazz Black,1-Day_Color_Sph,3600.0,3600.0,0.0,100.0,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Affogato_55% UV,1-Day_Color_Sph,776.0,775.0,1.0,99.87,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Brown Bunny_55% UV,1-Day_Color_Sph,9632.0,9605.0,27.0,99.72,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Bubble Blue_55% UV,1-Day_Color_Sph,2576.0,2570.0,6.0,99.77,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Coffee Jelly_55% UV,1-Day_Color_Sph,498.0,495.0,3.0,99.4,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Crystal Bloom_38% UV,1-Day_Color_Sph,1502.0,1500.0,2.0,99.87,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Dark Peony_55% UV,1-Day_Color_Sph,407.0,405.0,2.0,99.51,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Dollish Brown_55% UV,1-Day_Color_Sph,7541.0,7530.0,11.0,99.85,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Dorayaki_55% UV,1-Day_Color_Sph,2342.0,2340.0,2.0,99.91,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Dream Gray_55% UV,1-Day_Color_Sph,5367.0,5355.0,12.0,99.78,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Grege Quartz 38% UV,1-Day_Color_Sph,12267.0,12250.0,17.0,99.86,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Love Cacao_55%_14.2 UV,1-Day_Color_Sph,8924.0,8915.0,9.0,99.9,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Melty Butter_55%_14.5 UV,1-Day_Color_Sph,772.0,770.0,2.0,99.74,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Moon Melt Brown_55%_14.5 UV,1-Day_Color_Sph,1950.0,1945.0,5.0,99.74,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Oolong Tea_55% UV,1-Day_Color_Sph,2166.0,2160.0,6.0,99.72,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Pink Bomb_55%_14.5 UV,1-Day_Color_Sph,3021.0,3015.0,6.0,99.8,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Sakura Smore_55% UV,1-Day_Color_Sph,2084.0,2080.0,4.0,99.81,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Star Glow_55%_14.5 UV,1-Day_Color_Sph,3240.0,3240.0,0.0,100.0,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Teddy Brown_55% UV,1-Day_Color_Sph,2822.0,2815.0,7.0,99.75,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_Twinkle Brown_55%_14.5 UV,1-Day_Color_Sph,11560.0,11535.0,25.0,99.78,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D_ZUNDA MOCHI_55% UV,1-Day_Color_Sph,1411.0,1410.0,1.0,99.93,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_1D 55% SabaTeishoku_2T,1-Day_Color_Sph,2189.0,2185.0,4.0,99.82,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_BROWN MANEGE,1-Day_Color_Sph,1531.0,1530.0,1.0,99.93,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Coconut_55%_1-DAY,1-Day_Color_Sph,3546.0,3540.0,6.0,99.83,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_HOJICHA LATTE_55%,1-Day_Color_Sph,1232.0,1230.0,2.0,99.84,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Hot Chocolate_55%_1-DAY,1-Day_Color_Sph,1872.0,1870.0,2.0,99.89,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Lassie_1-DAY 55%,1-Day_Color_Sph,1437.0,1435.0,2.0,99.86,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_MS4 Mirror Gray_3T,1-Day_Color_Sph,843.0,840.0,3.0,99.64,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_MS5 Tint Brown_1T,1-Day_Color_Sph,2100.0,2095.0,5.0,99.76,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Sheer Black_55%_1-DAY,1-Day_Color_Sph,2069.0,2065.0,4.0,99.81,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Sheer Brown_55%_1-DAY,1-Day_Color_Sph,2124.0,2120.0,4.0,99.81,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Shiny Brown_55%_14.5_1-DAY,1-Day_Color_Sph,6252.0,6245.0,7.0,99.89,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA_Tulle Brown_1D_55%_14.2,1-Day_Color_Sph,1093.0,1085.0,8.0,99.27,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,REAL SOME CHOCO(NOBLE MYSTIC),1-Day_Color_Sph,20852.0,20830.0,22.0,99.89,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,Sincere D_Dolly Brown_ITFA_UV_38% 14.5,1-Day_Color_Sph,2518.0,2510.0,8.0,99.68,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,sincere_Hologram Shell_1-Day 38%,1-Day_Color_Sph,6302.0,6250.0,33.0,99.17,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,sincere_Silky Ginger_1-Day 38%,1-Day_Color_Sph,629.0,620.0,5.0,98.57,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,sincere_Sirius Misty_1-Day 38%,1-Day_Color_Sph,8411.0,8395.0,14.0,99.81,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,ANW D Toric_T1-A OvE_CP-0.75_UV,1-Day_Color_Toric,1446.0,1445.0,1.0,99.93,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,ANW D Toric_T1-B OvE_CP-1.25_UV,1-Day_Color_Toric,2056.0,2055.0,1.0,99.95,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric CP-0.75_Dazzle Gray_55% UV,1-Day_Color_Toric,3240.0,3230.0,10.0,99.69,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric CP-1.25_Dazzle Gray_55% UV,1-Day_Color_Toric,6290.0,6280.0,10.0,99.84,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric_CP-0.75 Brown Bunny_55% UV,1-Day_Color_Toric,2400.0,2400.0,0.0,100.0,
2026-01-07,C관(2공장),[45] 하이드레이션/전면검사,PIA D Toric_CP-0.75 Coffee Jelly_55% UV,1-Day_Color_Toric,9010.0,9000.0,10.0,99.89,
